School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
Old Mill Middle School,Old Mill Middle School,Anne Arundel,3,9/29/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Groves Elementary School,Frederick,5,9/29/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,26,9/29/2021,15:00:00+00
Patapsco High School,Patapsco High School,Baltimore,6,9/29/2021,15:00:00+00
Perry Hall Christian School,Perry Hall Christian School,Baltimore,6,9/29/2021,15:00:00+00
Phelps Luck Elementary School,Phelps Luck Elementary School,Howard,4,9/29/2021,15:00:00+00
Piney Point Elementary School,Piney Point Elementary School,St. Mary's,24,9/29/2021,15:00:00+00
Pocomoke High School,Pocomoke High School,Worcester,4,9/29/2021,15:00:00+00
Prince Street Elementary School,Prince Street Elementary School,Wicomico,2,9/29/2021,15:00:00+00
Queen Anne's County High School,Queen Anne's County High School,Queen Anne's,5,9/29/2021,15:00:00+00
Redeemer Classical Christian School,Redeemer Classical Christian,Baltimore,7,9/29/2021,15:00:00+00
Reservoir High School,Reservoir High School,Howard,4,9/29/2021,15:00:00+00
Ridgely Middle School,Ridgely Middle School,Baltimore,3,9/29/2021,15:00:00+00
Rising Sun Middle School,Rising Sun Middle School,Cecil,7,9/29/2021,15:00:00+00
Riverview Elementary School,Riverview Elementary School,Baltimore,2,9/29/2021,15:00:00+00
Robert Frost Middle School,Robert Frost Middle School,Montgomery,3,9/29/2021,15:00:00+00
Running Brook Elementary School,Running Brook Elementary School,Howard,4,9/29/2021,15:00:00+00
Salisbury Christian School,Salisbury Christian School,Wicomico,3,9/29/2021,15:00:00+00
School of the Incarnation,School of The Incarnation,Anne Arundel,2,9/29/2021,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,4,9/29/2021,15:00:00+00
Severn Elementary School,Severn Elementary School,Anne Arundel,2,9/29/2021,15:00:00+00
Shady Spring Elementary School,Shady Spring Elementary School,Baltimore,7,9/29/2021,15:00:00+00
Sheppard Pratt School in Glyndon - Reisterstown,Sheppard Pratt School in Glyndon - Reisterstown,Baltimore,2,9/29/2021,15:00:00+00
Showell Elementary School,Showell Elementary School,Worcester,11,9/29/2021,15:00:00+00
Silver Oak Academy,Silver Oak Academy,Carroll,3,9/29/2021,15:00:00+00
Snow Hill High School,Snow Hill High School,Worcester,6,9/29/2021,15:00:00+00
Snow Hill Middle School,Snow Hill Middle School,Worcester,17,9/29/2021,15:00:00+00
Solley Elementary School,Solley Elementary School,Anne Arundel,3,9/29/2021,15:00:00+00
Somerset Intermediate School,Somerset Intermediate School,Somerset,15,9/29/2021,15:00:00+00
South Hagerstown High School,South Hagerstown High School,Washington,2,9/29/2021,15:00:00+00
South Penn Elementary School,South Penn Elementary School,Allegany,11,9/29/2021,15:00:00+00
Southern Middle School,Southern Middle School,Garrett,3,9/29/2021,15:00:00+00
Southern Middle School,Southern Middle School,Anne Arundel,6,9/29/2021,15:00:00+00
Sparrows Point High School,Sparrows Point High School,Baltimore,2,9/29/2021,15:00:00+00
St Margaret Middle School,St Margaret Middle School,Harford,3,9/29/2021,15:00:00+00
St. James Academy,St. James Academy,Baltimore,4,9/29/2021,15:00:00+00
St. Jerome Academy,St. Jerome Academy,Prince George's,14,9/29/2021,15:00:00+00
Saint John's Catholic Preparatory School,St. John's Catholic Preparatory School,Frederick,2,9/29/2021,15:00:00+00
St. Margaret School,St. Margaret School,Harford,5,9/29/2021,15:00:00+00
St. Michael's Elementary School,St. Michaels Elementary School,Talbot,2,9/29/2021,15:00:00+00
St. Paul's Lutheran School,St. Paul's Lutheran School,Baltimore,5,9/29/2021,15:00:00+00
St. Philip-Neri School,St. Philip-Neri School,Anne Arundel,3,9/29/2021,15:00:00+00
St. Ursula Catholic School,St. Ursula Catholic School,Baltimore,29,9/29/2021,15:00:00+00
Sykesville Middle School,Sykesville Middle School,Carroll,7,9/29/2021,15:00:00+00
T.C. Martin Elementary School,T.C. Martin Elementary School,Charles,3,9/29/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy,Baltimore,36,9/29/2021,15:00:00+00
The Historic Cherry Hill Elementary and Middle School,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,9/29/2021,15:00:00+00
Thurmont Middle School,Thurmont Middle School,Frederick,16,9/29/2021,15:00:00+00
Tri-State Christian Academy,Tristate Christian Academy,Cecil,9,9/29/2021,15:00:00+00
Tuscarora Elementary School,Tuscarora Elementary School,Frederick,4,9/29/2021,15:00:00+00
University Park Elementary School,University Park Elementary School,Prince George's,4,9/29/2021,15:00:00+00
Walkersville Middle School,Walkersville Middle School,Frederick,5,9/29/2021,15:00:00+00
Washington High School,Washington High School,Somerset,11,9/29/2021,15:00:00+00
Wellwood International School,Wellwood International School,Baltimore,2,9/29/2021,15:00:00+00
Western Heights Middle,Western Heights Middle,Washington,17,9/29/2021,15:00:00+00
Westminster Elementary School,Westminster Elementary School,Carroll,2,9/29/2021,15:00:00+00
Wilde Lake Middle School,Wilde Lake Middle School,Howard,4,9/29/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,20,9/29/2021,15:00:00+00
Worcester Preparatory School,Worcester Preparatory School,Worcester,5,9/29/2021,15:00:00+00
Worthington Elementary School,Worthington Elementary School,Howard,6,9/29/2021,15:00:00+00
Yellow Springs Elementary School,Yellow Springs Elementary School,Frederick,2,9/29/2021,15:00:00+00
Accident Elementary School,Accident Elementary School,Garrett,2,10/6/2021,15:00:00+00
Allegany High School,Allegany High School,Allegany,15,10/6/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Alphabet Education Inc at Mary B Neal Elementary,Charles,2,10/6/2021,15:00:00+00
Annapolis Area Christian School - Lower School Annapolis,Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,2,10/6/2021,15:00:00+00
Annapolis Area Christian School - Severn Campus Lower School,Annapolis Area Christian School -Severn Campus Lower School,Anne Arundel,2,10/6/2021,15:00:00+00
Beall Elementary School,Beall Elementary School,Allegany,3,10/6/2021,15:00:00+00
Bel Air Elementary School,Bel Air Elementary,Allegany,3,10/6/2021,15:00:00+00
Benjamin Foulois Creative & Performing Arts Academy,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/6/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,2,10/6/2021,15:00:00+00
Bethesda-Chevy Chase High School,Bethesda-Chevy Chase High School,Montgomery,2,10/6/2021,15:00:00+00
Bodkin Elementary School,Bodkin Elementary School,Anne Arundel,2,10/6/2021,15:00:00+00
Bohemia Manor High School,Bohemian Manor High School,Cecil,3,10/6/2021,15:00:00+00
Braddock Middle School,Braddock Middle School,Allegany,16,10/6/2021,15:00:00+00
Bridgeway Elementary School,Bridgeway Elementary School,Anne Arundel,2,10/6/2021,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,27,10/6/2021,15:00:00+00
Brooklyn Park Middle School,Brooklyn Park Middle School,Anne Arundel,2,10/6/2021,15:00:00+00
The Bryn Mawr School,Bryn Mawr School,Baltimore City,6,10/6/2021,15:00:00+00
Buckingham Elementary School,Buckingham Elementary School,Worcester,2,10/6/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,10,10/6/2021,15:00:00+00
Calvin M. Rodwell Elementary/Middle School,Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,10/6/2021,15:00:00+00
Captain Walter Francis Duke Middle School,Captain Walter Francis Duke Middle School,St. Mary's,8,10/6/2021,15:00:00+00
Cardinal Shehan School,Cardinal Shehan,Baltimore City,4,10/6/2021,15:00:00+00
Career Center for Technical Education,Career Center for Technical Education,Allegany,27,10/6/2021,15:00:00+00
Carter G.  Woodson Elementary School,Carter G Woodson Elementary,Somerset,33,10/6/2021,15:00:00+00
Catoctin High School,Catoctin High School,Frederick,15,10/6/2021,15:00:00+00
Caver Vocational High School,Caver Vocational High School,Baltimore City,5,10/6/2021,15:00:00+00
Centreville Middle School,Centreville Middle School,Queen Anne's,7,10/6/2021,15:00:00+00
Chesapeake Bay Middle School,Chesapeake Bay Middle School,Anne Arundel,13,10/6/2021,15:00:00+00
Chesapeake City Elementary School,Chesapeake City Elementary School,Cecil,9,10/6/2021,15:00:00+00
Chesapeake High School,Chesapeake High School,Anne Arundel,24,10/6/2021,15:00:00+00
Clarksville Elementary,Clarksville Elementary,Howard,2,10/6/2021,15:00:00+00
Clear Springs High School,Clear Spring High School,Washington,3,10/6/2021,15:00:00+00
Clemens Crossing Elementary School,Clemens Crossing Elementary School,Howard,2,10/6/2021,15:00:00+00
Cockeysville Middle School,Cockeysville Middle School,Baltimore,2,10/6/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Columbia Academy Elementary and Middle School,Howard,3,10/6/2021,15:00:00+00
Cradle Rock Elementary,Cradle Rock Elementary,Howard,3,10/6/2021,15:00:00+00
Crisfield High School,Crisfield High School,Somerset,9,10/6/2021,15:00:00+00
Crofton High School,Crofton High School,Anne Arundel,10,10/6/2021,15:00:00+00
Crofton Middle School,Crofton Middle School,Anne Arundel,2,10/6/2021,15:00:00+00
Crofton Woods Elementary School,Crofton Woods Elementary School,Anne Arundel,2,10/6/2021,15:00:00+00
Damascus High School,Damascus High School,Montgomery,3,10/6/2021,15:00:00+00
Diamond Elementary School,Diamond Elementary School,Montgomery,3,10/6/2021,15:00:00+00
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,10,10/6/2021,15:00:00+00
Dublin Elementary School,Dublin Elementary School,Harford,4,10/6/2021,15:00:00+00
Dulaney High School,Dulaney High School,Baltimore,2,10/6/2021,15:00:00+00
Dynard Elementary School,Dynard Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Easton Elementary School,Easton Elementary School,Talbot,3,10/6/2021,15:00:00+00
Ebb Valley Elementary School,Ebb Valley Elementary School,Carroll,2,10/6/2021,15:00:00+00
Elmwood Elementary School,Elmwood Elementary School,Baltimore,4,10/6/2021,15:00:00+00
Esperanza Middle School,Esperanza Middle School,St. Mary's,15,10/6/2021,15:00:00+00
Federalsburg Elementary School,Federalsburg Elementary School,Caroline,8,10/6/2021,15:00:00+00
Forbush School at Hunt Valley (Sheppard Pratt),Forbush School at Hunt Valley (Sheppard Pratt),Baltimore,2,10/6/2021,15:00:00+00
Fort Hill High School,Fort Hill High School,Allegany,29,10/6/2021,15:00:00+00
Friends School of Baltimore,Friends School,Baltimore City,39,10/6/2021,15:00:00+00
Gilpin Manor Elementary School,Gilpin Manor Elementary School,Cecil,2,10/6/2021,15:00:00+00
Good Shepard Catholic School,Good Shepard Catholic School,Cecil,5,10/6/2021,15:00:00+00
Grange Elementary School,Grange Elementary School,Baltimore,2,10/6/2021,15:00:00+00
Great Mills High School,Great Mills High School,St. Mary's,34,10/6/2021,15:00:00+00
Greenview Knolls Elementary School,Greenview Knolls Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Greenwood Elementary School,Greenwood Elementary School,Somerset,11,10/6/2021,15:00:00+00
Halethorpe Elementary School,Halethorpe Elementary School,Baltimore,2,10/6/2021,15:00:00+00
Hancock Middle-Senior High School,Hancock Middle-Senior High School,Washington,6,10/6/2021,15:00:00+00
Harford Technical High School,Harford Technical High School,Harford,17,10/6/2021,15:00:00+00
Havre de Grace Elementary School,Haver De Grace Elementary School,Harford,9,10/6/2021,15:00:00+00
Havre de Grace High School,Havre de Grace High School,Harford,2,10/6/2021,15:00:00+00
High Point Elementary School,High Point Elementary School,Anne Arundel,2,10/6/2021,15:00:00+00
Hollywood Elementary School,Hollywood Elementary School,St. Mary's,4,10/6/2021,15:00:00+00
Howard High School,Howard High School,Howard,5,10/6/2021,15:00:00+00
James M. Bennett High School,James M Bennett High School,Wicomico,4,10/6/2021,15:00:00+00
Jemicy School,Jemicy School,Baltimore,2,10/6/2021,15:00:00+00
John Archer School,John Archer School,Harford,2,10/6/2021,15:00:00+00
Joppatowne Elementary School,Joppatowne Elementary,Harford,4,10/6/2021,15:00:00+00
Kennard Elementary School,Kennard Elementary School,Queen Anne's,4,10/6/2021,15:00:00+00
Kent Island Elementary School,Kent Island Elementary School,Queen Anne's,6,10/6/2021,15:00:00+00
Kent Island High School,Kent Island High School,Queen Anne's,7,10/6/2021,15:00:00+00
Kingsville Elementary School,Kingsville Elementary School,Baltimore,3,10/6/2021,15:00:00+00
La Plata High School,La Plata High School,Charles,4,10/6/2021,15:00:00+00
Landon School,Landon School,Montgomery,8,10/6/2021,15:00:00+00
Laurel Woods Elementary School,Laurel Woods Elementary School,Howard,4,10/6/2021,15:00:00+00
Leonardtown High School,Leonardtown High School,St. Mary's,71,10/6/2021,15:00:00+00
Leonardtown Middle School,Leonardtown Middle School,St. Mary's,22,10/6/2021,15:00:00+00
Lexington Park Elementary School,Lexington Park Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Living Hope Christian School,Living Hope Christian School,Somerset,11,10/6/2021,15:00:00+00
Logan Elementary School,Logan Elementary,Baltimore,3,10/6/2021,15:00:00+00
Lutherville Laboratory,Lutherville Laboratory,Baltimore,3,10/6/2021,15:00:00+00
Magothy River Middle School,Magothy River Middle School,Anne Arundel,4,10/6/2021,15:00:00+00
Margaret Brent Middle School,Margaret Brent Middle School,St. Mary's,62,10/6/2021,15:00:00+00
Marley Elementary School,Marley Elementary School,Anne Arundel,7,10/6/2021,15:00:00+00
Maryland International School of Sustainability and Technology,Maryland International School of Sustainability and Technology,Washington,7,10/6/2021,15:00:00+00
Mattawoman Middle School,Mattawoman Middle School,Charles,5,10/6/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,2,10/6/2021,15:00:00+00
Mechanicsville Elementary School,Mechanicsville Elementary School,Carroll,3,10/6/2021,15:00:00+00
Middletown High School,Middletown High School,Frederick,2,10/6/2021,15:00:00+00
Monarch Global Academy,Monarch Global Academy,Anne Arundel,9,10/6/2021,15:00:00+00
Monsignor Slade Catholic School,Monsignor Slade Catholic School,Anne Arundel,10,10/6/2021,15:00:00+00
Mount Airy Middle School,Mount Airy Middle School,Carroll,2,10/6/2021,15:00:00+00
Mount View Middle School,Mount View Middle School,Howard,5,10/6/2021,15:00:00+00
Mountain Ridge High School,Mountain Ridge High School,Allegany,21,10/6/2021,15:00:00+00
New Life Christian School,New Life Christian School,Frederick,8,10/6/2021,15:00:00+00
New Town High School,New Town High School,Baltimore,7,10/6/2021,15:00:00+00
North Bethesda Middle School,North Bethesda Middle School,Montgomery,16,10/6/2021,15:00:00+00
North Caroline High School,North Caroline High School,Caroline,7,10/6/2021,15:00:00+00
North County High School,North County High School,Anne Arundel,2,10/6/2021,15:00:00+00
North Dorchester High School,North Dorchester High School,Dorchester,20,10/6/2021,15:00:00+00
North Dorchester Middle School,North Dorchester Middle School,Dorchester,20,10/6/2021,15:00:00+00
Northeast Middle School,North East Middle School,Cecil,30,10/6/2021,15:00:00+00
North Hagerstown High School,North Hagerstown High School,Washington,4,10/6/2021,15:00:00+00
Northeast High School,Northeast High School,Anne Arundel,25,10/6/2021,15:00:00+00
Northeast Middle School,Northeast Middle School,Anne Arundel,11,10/6/2021,15:00:00+00
Northern Middle School,Northern Middle School,Washington,18,10/6/2021,15:00:00+00
Northwest Middle School,Northwest Middle School,Carroll,27,10/6/2021,15:00:00+00
Oakdale Middle School,Oakdale Middle School,Frederick,6,10/6/2021,15:00:00+00
Oakleigh Elementary School,Oakleigh Elementary School,Baltimore,2,10/6/2021,15:00:00+00
Oakville Elementary School,Oakville Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Oakwood Elementary School,Oakwood Elementary School,Anne Arundel,5,10/6/2021,15:00:00+00
Old Mill High School,Old Mill High School,Anne Arundel,2,10/6/2021,15:00:00+00
Old Mill Middle School,Old Mill Middle School,Anne Arundel,18,10/6/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Groves Elementary School,Frederick,11,10/6/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,27,10/6/2021,15:00:00+00
Patapsco High School,Patapsco High School,Baltimore,6,10/6/2021,15:00:00+00
Perry Hall Christian School,Perry Hall Christian School,Baltimore,6,10/6/2021,15:00:00+00
Perryville High School,Perryville High School,Cecil,8,10/6/2021,15:00:00+00
Phelps Luck Elementary School,Phelps Luck Elementary School,Howard,9,10/6/2021,15:00:00+00
Pimlico Elementary Middle School,Pimlico Elementary Middle School,Baltimore City,11,10/6/2021,15:00:00+00
Piney Point Elementary School,Piney Point Elementary School,St. Mary's,36,10/6/2021,15:00:00+00
Pocomoke Elementary School,Pocomoke Elementary School,Worcester,6,10/6/2021,15:00:00+00
Poolesville Elementary School,Poolesville Elementary School,Montgomery,4,10/6/2021,15:00:00+00
Pretty Boy Elementary,Pretty Boy Elementary,Baltimore,2,10/6/2021,15:00:00+00
Reservoir High School,Reservoir High School,Howard,7,10/6/2021,15:00:00+00
Rising Sun Middle School,Rising Sun Middle School,Cecil,7,10/6/2021,15:00:00+00
Robert Frost Middle School,Robert Frost Middle School,Montgomery,3,10/6/2021,15:00:00+00
Running Brook Elementary School,Running Brook Elementary School,Howard,4,10/6/2021,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,7,10/6/2021,15:00:00+00
Severn Elementary School,Severn Elementary School,Anne Arundel,4,10/6/2021,15:00:00+00
Shady Spring Elementary School,Shady Spring Elementary School,Baltimore,11,10/6/2021,15:00:00+00
Shiloh Middle School,Shiloh Middle School,Carroll,2,10/6/2021,15:00:00+00
Shiloh Middle School,Shiloh Middle School,Carroll,2,10/6/2021,15:00:00+00
Showell Elementary School,Showell Elementary School,Worcester,18,10/6/2021,15:00:00+00
Snow Hill Middle School,Snow Hill Middle School,Worcester,24,10/6/2021,15:00:00+00
Solley Elementary School,Solley Elementary School,Anne Arundel,3,10/6/2021,15:00:00+00
Somerset Intermediate School,Somerset Intermediate School,Somerset,15,10/6/2021,15:00:00+00
South Hampton Middle School,South Hampton Middle School,Harford,4,10/6/2021,15:00:00+00
Southern Middle School,Southern Middle School,Garrett,3,10/6/2021,15:00:00+00
Southern Middle School,Southern Middle School,Anne Arundel,9,10/6/2021,15:00:00+00
Spring Ridge Middle School,Spring Ridge Middle School,St. Mary's,29,10/6/2021,15:00:00+00
St Margaret Middle School,St Margaret Middle School,Harford,4,10/6/2021,15:00:00+00
St. Jerome Academy,St. Jerome Academy,Prince George's,20,10/6/2021,15:00:00+00
St. Margaret School,St. Margaret School,Harford,5,10/6/2021,15:00:00+00
St. Mary's School,St. Mary's School,Charles,2,10/6/2021,15:00:00+00
St. Michael's Elementary School,St. Michaels Elementary School,Talbot,2,10/6/2021,15:00:00+00
St. Paul's Lutheran School,St. Paul's Lutheran School,Baltimore,8,10/6/2021,15:00:00+00
St. Ursula Catholic School,St. Ursula Catholic School,Baltimore,33,10/6/2021,15:00:00+00
Stemmers Run Middle School,Stemmers Run Middle School,Baltimore,4,10/6/2021,15:00:00+00
T.C. Martin Elementary School,T.C. Martin Elementary School,Charles,17,10/6/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy,Baltimore,36,10/6/2021,15:00:00+00
The Arrow School of Education,The Arrow School of Education,Baltimore,3,10/6/2021,15:00:00+00
The Children's Guild School of Prince George's Campus,The Children's Guild - PG Campus,Prince George's,9,10/6/2021,15:00:00+00
The Historic Cherry Hill Elementary and Middle School,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,10/6/2021,15:00:00+00
The John Carroll School,The John Carroll School,Harford,2,10/6/2021,15:00:00+00
Thurmont Middle School,Thurmont Middle School,Frederick,20,10/6/2021,15:00:00+00
Tri-State Christian Academy,Tristate Christian Academy,Cecil,12,10/6/2021,15:00:00+00
Tuscarora Elementary School,Tuscarora Elementary School,Frederick,6,10/6/2021,15:00:00+00
Villa Maria School,Vila Maria School,Baltimore,4,10/6/2021,15:00:00+00
Walkersville Middle School,Walkersville Middle School,Frederick,5,10/6/2021,15:00:00+00
Washington High School,Washington High School,Somerset,13,10/6/2021,15:00:00+00
Wellwood International School,Wellwood International School,Baltimore,5,10/6/2021,15:00:00+00
West Friendship Elementary School,West Friendship Elementary School,Howard,3,10/6/2021,15:00:00+00
Western Heights Middle,Western Heights Middle,Washington,23,10/6/2021,15:00:00+00
White Marsh Elementary School,White Marsh Elementary School,St. Mary's,4,10/6/2021,15:00:00+00
Wilde Lake Middle School,Wilde Lake Middle School,Howard,5,10/6/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,26,10/6/2021,15:00:00+00
Woodbridge Elementary School,Woodbridge Elementary,Baltimore,2,10/6/2021,15:00:00+00
Worthington Elementary School,Worthington Elementary School,Howard,7,10/6/2021,15:00:00+00
Accident Elementary School,Accident Elementary School,Garrett,2,10/13/2021,15:00:00+00
Allegany High School,Allegany High School,Allegany,27,10/13/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Alphabet Education Inc at Mary B Neal Elementary,Charles,2,10/13/2021,15:00:00+00
Annapolis Area Christian School - Lower School Annapolis,Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,10/13/2021,15:00:00+00
Annapolis Area Christian School - Severn Campus Lower School,Annapolis Area Christian School - Severn Campus Lower School,Anne Arundel,5,10/13/2021,15:00:00+00
Beach Elementary School,Beach Elementary School,Calvert,3,10/13/2021,15:00:00+00
Bel Air Elementary School,Bel Air Elementary School,Allegany,3,10/13/2021,15:00:00+00
Benjamin Foulois Creative & Performing Arts Academy,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/13/2021,15:00:00+00
Bethesda-Chevy Chase High School,Bethesda-Chevy Chase High School,Montgomery,2,10/13/2021,15:00:00+00
Bodkin Elementary School,Bodkin Elementary School,Anne Arundel,4,10/13/2021,15:00:00+00
Bohemia Manor High School,Bohemian Manor High School,Cecil,3,10/13/2021,15:00:00+00
Braddock Middle School,Braddock Middle School,Allegany,23,10/13/2021,15:00:00+00
Bridgeway Elementary School,Bridgeway Elementary School,Anne Arundel,2,10/13/2021,15:00:00+00
Brooklyn Park Middle School,Brooklyn Park Middle School,Anne Arundel,3,10/13/2021,15:00:00+00
The Bryn Mawr School,Bryn Mawr School,Baltimore City,6,10/13/2021,15:00:00+00
Buckingham Elementary School,Buckingham Elementary School,Worcester,6,10/13/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,10,10/13/2021,15:00:00+00
Calvin M. Rodwell Elementary/Middle School,Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,10/13/2021,15:00:00+00
Captain Walter Francis Duke Middle School,Captain Walter Francis Duke Middle School,St. Mary's,8,10/13/2021,15:00:00+00
Cardinal Shehan School,Cardinal Shehan,Baltimore City,6,10/13/2021,15:00:00+00
Career Center for Technical Education,Career Center for Technical Education,Allegany,29,10/13/2021,15:00:00+00
Carter G.  Woodson Elementary School,Carter G.  Woodson Elementary School,Somerset,39,10/13/2021,15:00:00+00
Catoctin High School,Catoctin High School,Frederick,20,10/13/2021,15:00:00+00
Caver Vocational High School,Caver Vocational High School,Baltimore City,5,10/13/2021,15:00:00+00
Chesapeake Bay Middle School,Chesapeake Bay Middle School,Anne Arundel,15,10/13/2021,15:00:00+00
Chesapeake City Elementary School,Chesapeake City Elementary School,Cecil,9,10/13/2021,15:00:00+00
Chesapeake High School,Chesapeake High School,Anne Arundel,40,10/13/2021,15:00:00+00
Clear Springs High School,Clear Spring High School,Washington,6,10/13/2021,15:00:00+00
Clemens Crossing Elementary School,Clemens Crossing Elementary School,Howard,3,10/13/2021,15:00:00+00
Cockeysville Middle School,Cockeysville Middle School,Baltimore,2,10/13/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Columbia Academy Elementary and Middle School,Howard,3,10/13/2021,15:00:00+00
Crisfield High School,Crisfield High School,Somerset,15,10/13/2021,15:00:00+00
Crofton High School,Crofton High School,Anne Arundel,16,10/13/2021,15:00:00+00
Crofton Middle School,Crofton Middle School,Anne Arundel,2,10/13/2021,15:00:00+00
Deerfield Elementary School,Deerfield Elementary School,Harford,4,10/13/2021,15:00:00+00
Diamond Elementary School,Diamond Elementary School,Montgomery,3,10/13/2021,15:00:00+00
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,10/13/2021,15:00:00+00
Dr. Thomas L. Higdon Elementary School,Dr. Thomas L. Higdon Elementary School,Charles,4,10/13/2021,15:00:00+00
Dublin Elementary School,Dublin Elementary School,Harford,4,10/13/2021,15:00:00+00
Easton Elementary School,Easton Elementary School,Talbot,3,10/13/2021,15:00:00+00
Elmwood Elementary School,Elmwood Elementary School,Baltimore,4,10/13/2021,15:00:00+00
Emma K. Doub Elementary School,Emma K. Doub Elementary School,Washington,4,10/13/2021,15:00:00+00
Emmitsburg Elementary School,Emmitsburg Elementary School,Frederick,4,10/13/2021,15:00:00+00
Esperanza Middle School,Esperanza Middle School,St. Mary's,15,10/13/2021,15:00:00+00
Federalsburg Elementary School,Federalsburg Elementary School,Caroline,8,10/13/2021,15:00:00+00
Forbush School at Hunt Valley (Sheppard Pratt),Forbush School at Hunt Valley (Sheppard Pratt),Baltimore,3,10/13/2021,15:00:00+00
Fort Hill High School,Fort Hill High School,Allegany,33,10/13/2021,15:00:00+00
Francis Scott Key Elementary School,Francis Scott Key,Carroll,16,10/13/2021,15:00:00+00
Frederick High School,Frederick High School,Frederick,4,10/13/2021,15:00:00+00
Friends School of Baltimore,Friends School,Baltimore City,40,10/13/2021,15:00:00+00
Garrison Forest School,Garrison Forrest School,Baltimore,2,10/13/2021,15:00:00+00
Gilpin Manor Elementary School,Gilpin Manor Elementary School,Cecil,2,10/13/2021,15:00:00+00
Good Shepard Catholic School,Good Shepard Catholic School,Cecil,5,10/13/2021,15:00:00+00
Great Mills High School,Great Mills High School,St. Mary's,44,10/13/2021,15:00:00+00
Greenwood Elementary School,Greenwood Elementary School,Somerset,13,10/13/2021,15:00:00+00
Halethorpe Elementary School,Halethorpe Elementary School,Baltimore,2,10/13/2021,15:00:00+00
Hancock Middle-Senior High School,Hancock Middle-Senior High School,Washington,8,10/13/2021,15:00:00+00
Harford Technical High School,Harford Technical High School,Harford,4,10/13/2021,15:00:00+00
Havre de Grace Elementary School,Havre de Grace Elementary,Harford,11,10/13/2021,15:00:00+00
Havre de Grace High School,Havre de Grace High School,Harford,2,10/13/2021,15:00:00+00
Hickory Elementary School,Hickory Elementary School,Harford,2,10/13/2021,15:00:00+00
Homestead Wakefield Elementary School,Homestead Wakefield Elementary School,Harford,6,10/13/2021,15:00:00+00
Howard High School,Howard High School,Howard,5,10/13/2021,15:00:00+00
James M. Bennett High School,James M. Bennett High School,Wicomico,4,10/13/2021,15:00:00+00
John Archer School,John Archer School,Harford,2,10/13/2021,15:00:00+00
Joppatowne Elementary School,Joppatowne Elementary,Harford,4,10/13/2021,15:00:00+00
Kent Island High School,Kent Island High School,Queen Anne's,9,10/13/2021,15:00:00+00
La Plata High School,La Plata High School,Charles,4,10/13/2021,15:00:00+00
Leonardtown High School,Leonardtown High School,St. Mary's,71,10/13/2021,15:00:00+00
Leonardtown Middle School,Leonardtown Middle School,St. Mary's,22,10/13/2021,15:00:00+00
Lexington Park Elementary School,Lexington Park Elementary School,St. Mary's,2,10/13/2021,15:00:00+00
Logan Elementary School,Logan Elementary,Baltimore,3,10/13/2021,15:00:00+00
Lothian Elementary,Lothian Elementary,Anne Arundel,3,10/13/2021,15:00:00+00
Lutherville Laboratory,Lutherville Laboratory,Baltimore,3,10/13/2021,15:00:00+00
Margaret Brent Middle School,Margaret Brent Middle School,St. Mary's,83,10/13/2021,15:00:00+00
Mattawoman Middle School,Mattawoman Middle School,Charles,5,10/13/2021,15:00:00+00
